"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","y","area"
"2",1.09865534305573,1.37992966175079,1.8789370059967,2.35625553131104,2.57229495048523,3.03554272651672,3.42566275596619,3.76429462432861,4.16340970993042,4.69848251342773,5.28394317626953,0,13000,9970.32734277844
"2.6",1.09865534305573,1.37992966175079,1.8789370059967,2.35625553131104,2.57229495048523,3.03554272651672,3.42566275596619,3.76429462432861,4.16340970993042,4.69848251342773,5.28394317626953,0,13000,9970.32734277844
"3",0.77367752790451,1.1218444108963,1.54471266269684,2.01404643058777,2.38286066055298,2.70909190177917,3.04440569877625,3.37752485275269,3.7697422504425,4.47959423065186,4.81591653823853,0,12900,9970.91730411723
"3.6",0.77367752790451,1.1218444108963,1.54471266269684,2.01404643058777,2.38286066055298,2.70909190177917,3.04440569877625,3.37752485275269,3.7697422504425,4.47959423065186,4.81591653823853,0,12900,9970.91730411723
"4",0.652735471725464,0.950659036636353,1.43622946739197,1.82578444480896,2.18968820571899,2.63871502876282,2.91874051094055,3.24761509895325,3.48056840896606,4.2419605255127,4.80108118057251,0,12800,9970.62269449234
"4.6",0.652735471725464,0.950659036636353,1.43622946739197,1.82578444480896,2.18968820571899,2.63871502876282,2.91874051094055,3.24761509895325,3.48056840896606,4.2419605255127,4.80108118057251,0,12800,9970.62269449234
"5",0.671782195568085,0.991297125816345,1.32023012638092,1.78112971782684,2.13967084884644,2.58256793022156,2.52698755264282,2.40052938461304,2.6504168510437,3.30036687850952,3.8451771736145,0,12700,9970.61453561671
"5.6",0.671782195568085,0.991297125816345,1.32023012638092,1.78112971782684,2.13967084884644,2.58256793022156,2.52698755264282,2.40052938461304,2.6504168510437,3.30036687850952,3.8451771736145,0,12700,9970.61453561671
"6",0.696777522563934,0.947371065616608,1.43341314792633,1.77774596214294,2.1357638835907,2.57637023925781,2.86167359352112,2.35808444023132,2.56794476509094,2.88818788528442,3.10654973983765,0,12600,9970.60570349544
"6.6",0.696777522563934,0.947371065616608,1.43341314792633,1.77774596214294,2.1357638835907,2.57637023925781,2.86167359352112,2.35808444023132,2.56794476509094,2.88818788528442,3.10654973983765,0,12600,9970.60570349544
